"LANG","LANG_NAME","COUNTRY_ALPHA2_CODE","COUNTRY_ALPHA3_CODE","COUNTRY_NUMERIC_CODE","COUNTRY_NAME"
"ZH-CN","CHINESE SIMPLIFIED","AD","AND","20","安道尔"
"ZH-CN","CHINESE SIMPLIFIED","AE","ARE","784","阿联酋"
"ZH-CN","CHINESE SIMPLIFIED","AF","AFG","4","阿富汗"
"ZH-CN","CHINESE SIMPLIFIED","AG","ATG","28","安提瓜和巴布达"
"ZH-CN","CHINESE SIMPLIFIED","AI","AIA","660","安圭拉"
"ZH-CN","CHINESE SIMPLIFIED","AL","ALB","8","阿尔巴尼亚"
"ZH-CN","CHINESE SIMPLIFIED","AM","ARM","51","亚美尼亚"
"ZH-CN","CHINESE SIMPLIFIED","AO","AGO","24","安哥拉"
"ZH-CN","CHINESE SIMPLIFIED","AQ","ATA","10","南极洲"
"ZH-CN","CHINESE SIMPLIFIED","AR","ARG","32","阿根廷"
"ZH-CN","CHINESE SIMPLIFIED","AS","ASM","16","美属萨摩亚"
"ZH-CN","CHINESE SIMPLIFIED","AT","AUT","40","奥地利"
"ZH-CN","CHINESE SIMPLIFIED","AU","AUS","36","澳大利亚"
"ZH-CN","CHINESE SIMPLIFIED","AW","ABW","533","阿鲁巴"
"ZH-CN","CHINESE SIMPLIFIED","AX","ALA","248","奥兰群岛"
"ZH-CN","CHINESE SIMPLIFIED","AZ","AZE","31","阿塞拜疆"
"ZH-CN","CHINESE SIMPLIFIED","BA","BIH","70","波黑"
"ZH-CN","CHINESE SIMPLIFIED","BB","BRB","52","巴巴多斯"
"ZH-CN","CHINESE SIMPLIFIED","BD","BGD","50","孟加拉"
"ZH-CN","CHINESE SIMPLIFIED","BE","BEL","56","比利时"
"ZH-CN","CHINESE SIMPLIFIED","BF","BFA","854","布基纳法索"
"ZH-CN","CHINESE SIMPLIFIED","BG","BGR","100","保加利亚"
"ZH-CN","CHINESE SIMPLIFIED","BH","BHR","48","巴林"
"ZH-CN","CHINESE SIMPLIFIED","BI","BDI","108","布隆迪"
"ZH-CN","CHINESE SIMPLIFIED","BJ","BEN","204","贝宁"
"ZH-CN","CHINESE SIMPLIFIED","BL","BLM","652","圣巴泰勒米岛"
"ZH-CN","CHINESE SIMPLIFIED","BM","BMU","60","百慕大"
"ZH-CN","CHINESE SIMPLIFIED","BN","BRN","96","文莱"
"ZH-CN","CHINESE SIMPLIFIED","BO","BOL","68","玻利维亚"
"ZH-CN","CHINESE SIMPLIFIED","BQ","BES","535","荷兰加勒比区"
"ZH-CN","CHINESE SIMPLIFIED","BR","BRA","76","巴西"
"ZH-CN","CHINESE SIMPLIFIED","BS","BHS","44","巴哈马"
"ZH-CN","CHINESE SIMPLIFIED","BT","BTN","64","不丹"
"ZH-CN","CHINESE SIMPLIFIED","BV","BVT","74","布韦岛"
"ZH-CN","CHINESE SIMPLIFIED","BW","BWA","72","博茨瓦纳"
"ZH-CN","CHINESE SIMPLIFIED","BY","BLR","112","白俄罗斯"
"ZH-CN","CHINESE SIMPLIFIED","BZ","BLZ","84","伯利兹"
"ZH-CN","CHINESE SIMPLIFIED","CA","CAN","124","加拿大"
"ZH-CN","CHINESE SIMPLIFIED","CC","CCK","166","科科斯群岛"
"ZH-CN","CHINESE SIMPLIFIED","CD","COD","180","刚果民主共和国"
"ZH-CN","CHINESE SIMPLIFIED","CF","CAF","140","中非"
"ZH-CN","CHINESE SIMPLIFIED","CG","COG","178","刚果共和国"
"ZH-CN","CHINESE SIMPLIFIED","CH","CHE","756","瑞士"
"ZH-CN","CHINESE SIMPLIFIED","CI","CIV","384","科特迪瓦"
"ZH-CN","CHINESE SIMPLIFIED","CK","COK","184","库克群岛"
"ZH-CN","CHINESE SIMPLIFIED","CL","CHL","152","智利"
"ZH-CN","CHINESE SIMPLIFIED","CM","CMR","120","喀麦隆"
"ZH-CN","CHINESE SIMPLIFIED","CN","CHN","156","中国"
"ZH-CN","CHINESE SIMPLIFIED","CO","COL","170","哥伦比亚"
"ZH-CN","CHINESE SIMPLIFIED","CR","CRI","188","哥斯达黎加"
"ZH-CN","CHINESE SIMPLIFIED","CU","CUB","192","古巴"
"ZH-CN","CHINESE SIMPLIFIED","CV","CPV","132","佛得角"
"ZH-CN","CHINESE SIMPLIFIED","CW","CUW","531","库拉索岛"
"ZH-CN","CHINESE SIMPLIFIED","CX","CXR","162","圣诞岛"
"ZH-CN","CHINESE SIMPLIFIED","CY","CYP","196","塞浦路斯"
"ZH-CN","CHINESE SIMPLIFIED","CZ","CZE","203","捷克"
"ZH-CN","CHINESE SIMPLIFIED","DE","DEU","276","德国"
"ZH-CN","CHINESE SIMPLIFIED","DJ","DJI","262","吉布提"
"ZH-CN","CHINESE SIMPLIFIED","DK","DNK","208","丹麦"
"ZH-CN","CHINESE SIMPLIFIED","DM","DMA","212","多米尼克"
"ZH-CN","CHINESE SIMPLIFIED","DO","DOM","214","多米尼加"
"ZH-CN","CHINESE SIMPLIFIED","DZ","DZA","12","阿尔及利亚"
"ZH-CN","CHINESE SIMPLIFIED","EC","ECU","218","厄瓜多尔"
"ZH-CN","CHINESE SIMPLIFIED","EE","EST","233","爱沙尼亚"
"ZH-CN","CHINESE SIMPLIFIED","EG","EGY","818","埃及"
"ZH-CN","CHINESE SIMPLIFIED","EH","ESH","732","西撒哈拉"
"ZH-CN","CHINESE SIMPLIFIED","ER","ERI","232","厄立特里亚"
"ZH-CN","CHINESE SIMPLIFIED","ES","ESP","724","西班牙"
"ZH-CN","CHINESE SIMPLIFIED","ET","ETH","231","埃塞俄比亚"
"ZH-CN","CHINESE SIMPLIFIED","FI","FIN","246","芬兰"
"ZH-CN","CHINESE SIMPLIFIED","FJ","FJI","242","斐济"
"ZH-CN","CHINESE SIMPLIFIED","FK","FLK","238","福克兰群岛"
"ZH-CN","CHINESE SIMPLIFIED","FM","FSM","583","密克罗尼西亚联邦"
"ZH-CN","CHINESE SIMPLIFIED","FO","FRO","234","法罗群岛"
"ZH-CN","CHINESE SIMPLIFIED","FR","FRA","250","法国"
"ZH-CN","CHINESE SIMPLIFIED","GA","GAB","266","加蓬"
"ZH-CN","CHINESE SIMPLIFIED","GB","GBR","826","英国"
"ZH-CN","CHINESE SIMPLIFIED","GD","GRD","308","格林纳达"
"ZH-CN","CHINESE SIMPLIFIED","GE","GEO","268","格鲁吉亚"
"ZH-CN","CHINESE SIMPLIFIED","GF","GUF","254","法属圭亚那"
"ZH-CN","CHINESE SIMPLIFIED","GG","GGY","831","根西岛"
"ZH-CN","CHINESE SIMPLIFIED","GH","GHA","288","加纳"
"ZH-CN","CHINESE SIMPLIFIED","GI","GIB","292","直布罗陀"
"ZH-CN","CHINESE SIMPLIFIED","GL","GRL","304","格陵兰"
"ZH-CN","CHINESE SIMPLIFIED","GM","GMB","270","冈比亚"
"ZH-CN","CHINESE SIMPLIFIED","GN","GIN","324","几内亚"
"ZH-CN","CHINESE SIMPLIFIED","GP","GLP","312","瓜德罗普"
"ZH-CN","CHINESE SIMPLIFIED","GQ","GNQ","226","赤道几内亚"
"ZH-CN","CHINESE SIMPLIFIED","GR","GRC","300","希腊"
"ZH-CN","CHINESE SIMPLIFIED","GS","SGS","239","南乔治亚岛与南桑威奇群岛"
"ZH-CN","CHINESE SIMPLIFIED","GT","GTM","320","危地马拉"
"ZH-CN","CHINESE SIMPLIFIED","GU","GUM","316","关岛"
"ZH-CN","CHINESE SIMPLIFIED","GW","GNB","624","几内亚比绍"
"ZH-CN","CHINESE SIMPLIFIED","GY","GUY","328","圭亚那"
"ZH-CN","CHINESE SIMPLIFIED","HK","HKG","344","香港"
"ZH-CN","CHINESE SIMPLIFIED","HM","HMD","334","赫德岛和麦克唐纳群岛"
"ZH-CN","CHINESE SIMPLIFIED","HN","HND","340","洪都拉斯"
"ZH-CN","CHINESE SIMPLIFIED","HR","HRV","191","克罗地亚"
"ZH-CN","CHINESE SIMPLIFIED","HT","HTI","332","海地"
"ZH-CN","CHINESE SIMPLIFIED","HU","HUN","348","匈牙利"
"ZH-CN","CHINESE SIMPLIFIED","ID","IDN","360","印尼"
"ZH-CN","CHINESE SIMPLIFIED","IE","IRL","372","爱尔兰"
"ZH-CN","CHINESE SIMPLIFIED","IL","ISR","376","以色列"
"ZH-CN","CHINESE SIMPLIFIED","IM","IMN","833","马恩岛"
"ZH-CN","CHINESE SIMPLIFIED","IN","IND","356","印度"
"ZH-CN","CHINESE SIMPLIFIED","IO","IOT","86","英属印度洋领地"
"ZH-CN","CHINESE SIMPLIFIED","IQ","IRQ","368","伊拉克"
"ZH-CN","CHINESE SIMPLIFIED","IR","IRN","364","伊朗"
"ZH-CN","CHINESE SIMPLIFIED","IS","ISL","352","冰岛"
"ZH-CN","CHINESE SIMPLIFIED","IT","ITA","380","意大利"
"ZH-CN","CHINESE SIMPLIFIED","JE","JEY","832","泽西岛"
"ZH-CN","CHINESE SIMPLIFIED","JM","JAM","388","牙买加"
"ZH-CN","CHINESE SIMPLIFIED","JO","JOR","400","约旦"
"ZH-CN","CHINESE SIMPLIFIED","JP","JPN","392","日本"
"ZH-CN","CHINESE SIMPLIFIED","KE","KEN","404","肯尼亚"
"ZH-CN","CHINESE SIMPLIFIED","KG","KGZ","417","吉尔吉斯斯坦"
"ZH-CN","CHINESE SIMPLIFIED","KH","KHM","116","柬埔寨"
"ZH-CN","CHINESE SIMPLIFIED","KI","KIR","296","基里巴斯"
"ZH-CN","CHINESE SIMPLIFIED","KM","COM","174","科摩罗"
"ZH-CN","CHINESE SIMPLIFIED","KN","KNA","659","圣基茨和尼维斯"
"ZH-CN","CHINESE SIMPLIFIED","KP","PRK","408","朝鲜"
"ZH-CN","CHINESE SIMPLIFIED","KR","KOR","410","韩国"
"ZH-CN","CHINESE SIMPLIFIED","KW","KWT","414","科威特"
"ZH-CN","CHINESE SIMPLIFIED","KY","CYM","136","开曼群岛"
"ZH-CN","CHINESE SIMPLIFIED","KZ","KAZ","398","哈萨克斯坦"
"ZH-CN","CHINESE SIMPLIFIED","LA","LAO","418","老挝"
"ZH-CN","CHINESE SIMPLIFIED","LB","LBN","422","黎巴嫩"
"ZH-CN","CHINESE SIMPLIFIED","LC","LCA","662","圣卢西亚"
"ZH-CN","CHINESE SIMPLIFIED","LI","LIE","438","列支敦士登"
"ZH-CN","CHINESE SIMPLIFIED","LK","LKA","144","斯里兰卡"
"ZH-CN","CHINESE SIMPLIFIED","LR","LBR","430","利比里亚"
"ZH-CN","CHINESE SIMPLIFIED","LS","LSO","426","莱索托"
"ZH-CN","CHINESE SIMPLIFIED","LT","LTU","440","立陶宛"
"ZH-CN","CHINESE SIMPLIFIED","LU","LUX","442","卢森堡"
"ZH-CN","CHINESE SIMPLIFIED","LV","LVA","428","拉脱维亚"
"ZH-CN","CHINESE SIMPLIFIED","LY","LBY","434","利比亚"
"ZH-CN","CHINESE SIMPLIFIED","MA","MAR","504","摩洛哥"
"ZH-CN","CHINESE SIMPLIFIED","MC","MCO","492","摩纳哥"
"ZH-CN","CHINESE SIMPLIFIED","MD","MDA","498","摩尔多瓦"
"ZH-CN","CHINESE SIMPLIFIED","ME","MNE","499","黑山"
"ZH-CN","CHINESE SIMPLIFIED","MF","MAF","663","法属圣马丁"
"ZH-CN","CHINESE SIMPLIFIED","MG","MDG","450","马达加斯加"
"ZH-CN","CHINESE SIMPLIFIED","MH","MHL","584","马绍尔群岛"
"ZH-CN","CHINESE SIMPLIFIED","MK","MKD","807","马其顿"
"ZH-CN","CHINESE SIMPLIFIED","ML","MLI","466","马里"
"ZH-CN","CHINESE SIMPLIFIED","MM","MMR","104","缅甸"
"ZH-CN","CHINESE SIMPLIFIED","MN","MNG","496","蒙古"
"ZH-CN","CHINESE SIMPLIFIED","MO","MAC","446","澳门"
"ZH-CN","CHINESE SIMPLIFIED","MP","MNP","580","北马里亚纳群岛"
"ZH-CN","CHINESE SIMPLIFIED","MQ","MTQ","474","马提尼克"
"ZH-CN","CHINESE SIMPLIFIED","MR","MRT","478","毛里塔尼亚"
"ZH-CN","CHINESE SIMPLIFIED","MS","MSR","500","蒙塞拉特岛"
"ZH-CN","CHINESE SIMPLIFIED","MT","MLT","470","马耳他"
"ZH-CN","CHINESE SIMPLIFIED","MU","MUS","480","毛里求斯"
"ZH-CN","CHINESE SIMPLIFIED","MV","MDV","462","马尔代夫"
"ZH-CN","CHINESE SIMPLIFIED","MW","MWI","454","马拉维"
"ZH-CN","CHINESE SIMPLIFIED","MX","MEX","484","墨西哥"
"ZH-CN","CHINESE SIMPLIFIED","MY","MYS","458","马来西亚"
"ZH-CN","CHINESE SIMPLIFIED","MZ","MOZ","508","莫桑比克"
"ZH-CN","CHINESE SIMPLIFIED","NA","NAM","516","纳米比亚"
"ZH-CN","CHINESE SIMPLIFIED","NC","NCL","540","新喀里多尼亚"
"ZH-CN","CHINESE SIMPLIFIED","NE","NER","562","尼日尔"
"ZH-CN","CHINESE SIMPLIFIED","NF","NFK","574","诺福克岛"
"ZH-CN","CHINESE SIMPLIFIED","NG","NGA","566","尼日利亚"
"ZH-CN","CHINESE SIMPLIFIED","NI","NIC","558","尼加拉瓜"
"ZH-CN","CHINESE SIMPLIFIED","NL","NLD","528","荷兰"
"ZH-CN","CHINESE SIMPLIFIED","NO","NOR","578","挪威"
"ZH-CN","CHINESE SIMPLIFIED","NP","NPL","524","尼泊尔"
"ZH-CN","CHINESE SIMPLIFIED","NR","NRU","520","瑙鲁"
"ZH-CN","CHINESE SIMPLIFIED","NU","NIU","570","纽埃"
"ZH-CN","CHINESE SIMPLIFIED","NZ","NZL","554","新西兰"
"ZH-CN","CHINESE SIMPLIFIED","OM","OMN","512","阿曼"
"ZH-CN","CHINESE SIMPLIFIED","PA","PAN","591","巴拿马"
"ZH-CN","CHINESE SIMPLIFIED","PE","PER","604","秘鲁"
"ZH-CN","CHINESE SIMPLIFIED","PF","PYF","258","法属波利尼西亚"
"ZH-CN","CHINESE SIMPLIFIED","PG","PNG","598","巴布亚新几内亚"
"ZH-CN","CHINESE SIMPLIFIED","PH","PHL","608","菲律宾"
"ZH-CN","CHINESE SIMPLIFIED","PK","PAK","586","巴基斯坦"
"ZH-CN","CHINESE SIMPLIFIED","PL","POL","616","波兰"
"ZH-CN","CHINESE SIMPLIFIED","PM","SPM","666","圣皮埃尔和密克隆群岛"
"ZH-CN","CHINESE SIMPLIFIED","PN","PCN","612","皮特凯恩群岛"
"ZH-CN","CHINESE SIMPLIFIED","PR","PRI","630","波多黎各"
"ZH-CN","CHINESE SIMPLIFIED","PS","PSE","275","巴勒斯坦"
"ZH-CN","CHINESE SIMPLIFIED","PT","PRT","620","葡萄牙"
"ZH-CN","CHINESE SIMPLIFIED","PW","PLW","585","帕劳"
"ZH-CN","CHINESE SIMPLIFIED","PY","PRY","600","巴拉圭"
"ZH-CN","CHINESE SIMPLIFIED","QA","QAT","634","卡塔尔"
"ZH-CN","CHINESE SIMPLIFIED","RE","REU","638","留尼汪"
"ZH-CN","CHINESE SIMPLIFIED","RO","ROU","642","罗马尼亚"
"ZH-CN","CHINESE SIMPLIFIED","RS","SRB","688","塞尔维亚"
"ZH-CN","CHINESE SIMPLIFIED","RU","RUS","643","俄罗斯"
"ZH-CN","CHINESE SIMPLIFIED","RW","RWA","646","卢旺达"
"ZH-CN","CHINESE SIMPLIFIED","SA","SAU","682","沙特阿拉伯"
"ZH-CN","CHINESE SIMPLIFIED","SB","SLB","90","所罗门群岛"
"ZH-CN","CHINESE SIMPLIFIED","SC","SYC","690","塞舌尔"
"ZH-CN","CHINESE SIMPLIFIED","SD","SDN","729","苏丹"
"ZH-CN","CHINESE SIMPLIFIED","SE","SWE","752","瑞典"
"ZH-CN","CHINESE SIMPLIFIED","SG","SGP","702","新加坡"
"ZH-CN","CHINESE SIMPLIFIED","SH","SHN","654","圣赫勒拿岛"
"ZH-CN","CHINESE SIMPLIFIED","SI","SVN","705","斯洛文尼亚"
"ZH-CN","CHINESE SIMPLIFIED","SJ","SJM","744","斯瓦尔巴群岛和扬马延岛"
"ZH-CN","CHINESE SIMPLIFIED","SK","SVK","703","斯洛伐克"
"ZH-CN","CHINESE SIMPLIFIED","SL","SLE","694","塞拉利昂"
"ZH-CN","CHINESE SIMPLIFIED","SM","SMR","674","圣马力诺"
"ZH-CN","CHINESE SIMPLIFIED","SN","SEN","686","塞内加尔"
"ZH-CN","CHINESE SIMPLIFIED","SO","SOM","706","索马里"
"ZH-CN","CHINESE SIMPLIFIED","SR","SUR","740","苏里南"
"ZH-CN","CHINESE SIMPLIFIED","SS","SSD","728","南苏丹"
"ZH-CN","CHINESE SIMPLIFIED","ST","STP","678","圣多美和普林西比"
"ZH-CN","CHINESE SIMPLIFIED","SV","SLV","222","萨尔瓦多"
"ZH-CN","CHINESE SIMPLIFIED","SX","SXM","534","圣马丁岛"
"ZH-CN","CHINESE SIMPLIFIED","SY","SYR","760","叙利亚"
"ZH-CN","CHINESE SIMPLIFIED","SZ","SWZ","748","斯威士兰"
"ZH-CN","CHINESE SIMPLIFIED","TC","TCA","796","特克斯和凯科斯群岛"
"ZH-CN","CHINESE SIMPLIFIED","TD","TCD","148","乍得"
"ZH-CN","CHINESE SIMPLIFIED","TF","ATF","260","法属南部领地"
"ZH-CN","CHINESE SIMPLIFIED","TG","TGO","768","多哥"
"ZH-CN","CHINESE SIMPLIFIED","TH","THA","764","泰国"
"ZH-CN","CHINESE SIMPLIFIED","TJ","TJK","762","塔吉克斯坦"
"ZH-CN","CHINESE SIMPLIFIED","TK","TKL","772","托克劳群岛"
"ZH-CN","CHINESE SIMPLIFIED","TL","TLS","626","东帝汶"
"ZH-CN","CHINESE SIMPLIFIED","TM","TKM","795","土库曼斯坦"
"ZH-CN","CHINESE SIMPLIFIED","TN","TUN","788","突尼斯"
"ZH-CN","CHINESE SIMPLIFIED","TO","TON","776","汤加"
"ZH-CN","CHINESE SIMPLIFIED","TR","TUR","792","土耳其"
"ZH-CN","CHINESE SIMPLIFIED","TT","TTO","780","特立尼达和多巴哥"
"ZH-CN","CHINESE SIMPLIFIED","TV","TUV","798","图瓦卢"
"ZH-CN","CHINESE SIMPLIFIED","TW","TWN","158","台湾"
"ZH-CN","CHINESE SIMPLIFIED","TZ","TZA","834","坦桑尼亚"
"ZH-CN","CHINESE SIMPLIFIED","UA","UKR","804","乌克兰"
"ZH-CN","CHINESE SIMPLIFIED","UG","UGA","800","乌干达"
"ZH-CN","CHINESE SIMPLIFIED","UM","UMI","581","美国本土外小岛屿"
"ZH-CN","CHINESE SIMPLIFIED","US","USA","840","美国"
"ZH-CN","CHINESE SIMPLIFIED","UY","URY","858","乌拉圭"
"ZH-CN","CHINESE SIMPLIFIED","UZ","UZB","860","乌兹别克斯坦"
"ZH-CN","CHINESE SIMPLIFIED","VA","VAT","336","梵蒂冈"
"ZH-CN","CHINESE SIMPLIFIED","VC","VCT","670","圣文森特和格林纳丁斯"
"ZH-CN","CHINESE SIMPLIFIED","VE","VEN","862","委内瑞拉"
"ZH-CN","CHINESE SIMPLIFIED","VG","VGB","92","英属维尔京群岛"
"ZH-CN","CHINESE SIMPLIFIED","VI","VIR","850","美属维尔京群岛"
"ZH-CN","CHINESE SIMPLIFIED","VN","VNM","704","越南"
"ZH-CN","CHINESE SIMPLIFIED","VU","VUT","548","瓦努阿图"
"ZH-CN","CHINESE SIMPLIFIED","WF","WLF","876","瓦利斯和富圖納群島"
"ZH-CN","CHINESE SIMPLIFIED","WS","WSM","882","萨摩亚"
"ZH-CN","CHINESE SIMPLIFIED","YE","YEM","887","也门"
"ZH-CN","CHINESE SIMPLIFIED","YT","MYT","175","马约特"
"ZH-CN","CHINESE SIMPLIFIED","ZA","ZAF","710","南非"
"ZH-CN","CHINESE SIMPLIFIED","ZM","ZMB","894","赞比亚"
"ZH-CN","CHINESE SIMPLIFIED","ZW","ZWE","716","津巴布韦"